geoid,city_name,county_equivalent_fips
51510,Alexandria,510
51520,Bristol,520
51530,Buena Vista,530
51540,Charlottesville,540
51550,Chesapeake,550
51570,Colonial Heights,570
51580,Covington,580
51590,Danville,590
51595,Emporia,595
51600,Fairfax city,600
51610,Falls Church,610
51620,Franklin city,620
51630,Fredericksburg,630
51640,Galax,640
51650,Hampton,650
51660,Harrisonburg,660
51670,Hopewell,670
51678,Lexington,678
51680,Lynchburg,680
51683,Manassas,683
51685,Manassas Park,685
51690,Martinsville,690
51700,Newport News,700
51710,Norfolk,710
51720,Norton,720
51730,Petersburg,730
51735,Poquoson,735
51740,Portsmouth,740
51750,Radford,750
51760,Richmond city,760
51770,Roanoke city,770
51775,Salem,775
51790,Staunton,790
51800,Suffolk,800
51810,Virginia Beach,810
51820,Waynesboro,820
51830,Williamsburg,830
51840,Winchester,840
